flight_id,departure_time,arrival_time,passenger_count,status
385cdfd2,2024-12-15T22:45:00+00:00,2024-12-16T11:40:00+00:00,2,Landed
385ce253,2024-12-16T01:00:00+00:00,2024-12-16T15:25:00+00:00,1,Delayed
385ce5ab,2024-12-16T00:45:00+00:00,2024-12-16T14:05:00+00:00,153,Landed
385ce690,2024-12-15T23:05:00+00:00,2024-12-16T15:20:00+00:00,108,Estimated
385ceaeb,2024-12-15T23:10:00+00:00,2024-12-16T14:50:00+00:00,178,Estimated
385cee54,2024-12-15T23:40:00+00:00,2024-12-16T14:30:00+00:00,2,Estimated
385cef0b,2024-12-16T01:35:00+00:00,2024-12-16T15:50:00+00:00,140,Estimated
385cef44,2024-12-16T00:35:00+00:00,2024-12-16T13:40:00+00:00,147,Landed
385cf331,2024-12-16T04:35:00+00:00,2024-12-16T16:45:00+00:00,107,Estimated
385cf332,2024-12-16T06:15:00+00:00,2024-12-16T17:40:00+00:00,1,Estimated
385cf35c,2024-12-16T01:55:00+00:00,2024-12-16T16:25:00+00:00,1,Estimated
385cf5ee,2024-12-16T01:30:00+00:00,2024-12-16T08:15:00+00:00,108,Landed
385cf698,2024-12-15T23:40:00+00:00,2024-12-16T15:25:00+00:00,130,Estimated
385cfd7a,2024-12-16T01:40:00+00:00,2024-12-16T14:30:00+00:00,118,Estimated
385cfdb5,2024-12-16T01:20:00+00:00,2024-12-16T14:20:00+00:00,76,Delayed
385cfe0a,2024-12-15T23:45:00+00:00,2024-12-16T14:50:00+00:00,154,Estimated
385cfe0f,2024-12-15T23:20:00+00:00,2024-12-16T14:25:00+00:00,139,Delayed
385cffd6,2024-12-15T23:55:00+00:00,2024-12-16T15:20:00+00:00,9,Estimated
385d0067,2024-12-16T00:10:00+00:00,2024-12-16T14:20:11+00:00,164,Delayed
385d01cd,2024-12-16T00:00:00+00:00,2024-12-16T14:15:00+00:00,81,Landed
385d01e7,2024-12-16T00:05:00+00:00,2024-12-16T14:40:00+00:00,88,Estimated
385d03b8,2024-12-16T00:05:00+00:00,2024-12-16T14:55:00+00:00,84,Estimated
385d03fc,2024-12-16T02:10:00+00:00,2024-12-16T17:00:00+00:00,1,Estimated
385d053c,2024-12-16T01:50:00+00:00,2024-12-16T15:10:00+00:00,1,Estimated
385d09bd,2024-12-16T01:10:00+00:00,2024-12-16T15:45:00+00:00,85,Delayed
385d09cd,2024-12-16T00:10:00+00:00,2024-12-16T13:40:00+00:00,87,Landed
385d0e64,2024-12-16T02:50:00+00:00,2024-12-16T15:10:00+00:00,1,Estimated
385d0f42,2024-12-16T02:30:00+00:00,2024-12-16T17:25:00+00:00,2,Estimated
385d0f97,2024-12-16T00:30:00+00:00,2024-12-16T14:05:00+00:00,122,Delayed
385d0fc6,2024-12-16T00:35:00+00:00,2024-12-16T13:55:00+00:00,82,Estimated
385d10bf,2024-12-16T00:20:00+00:00,2024-12-16T16:55:00+00:00,91,Estimated
385d10f0,2024-12-15T23:50:00+00:00,2024-12-16T14:05:00+00:00,97,Delayed
385d11b4,2024-12-16T00:05:00+00:00,2024-12-16T14:30:00+00:00,95,Landed
385d1424,2024-12-16T00:30:00+00:00,2024-12-16T14:50:00+00:00,2,Estimated
385d1630,2024-12-16T00:35:00+00:00,2024-12-16T15:40:00+00:00,1,Estimated
385d182d,2024-12-16T00:50:00+00:00,2024-12-16T15:50:00+00:00,2,Estimated
385d1976,2024-12-16T00:05:00+00:00,2024-12-16T14:00:00+00:00,86,Landed
385d1a75,2024-12-16T00:50:00+00:00,2024-12-16T15:15:00+00:00,142,Estimated
385d1ab6,2024-12-16T01:15:00+00:00,2024-12-16T15:05:00+00:00,1,Estimated
385d1ac4,2024-12-16T01:20:00+00:00,2024-12-16T16:05:00+00:00,1,Estimated
385d1b27,2024-12-16T00:45:00+00:00,2024-12-16T15:25:00+00:00,1,Estimated
385d1c7b,2024-12-16T00:35:00+00:00,2024-12-16T13:10:00+00:00,112,Delayed
385d1dd2,2024-12-16T12:30:00+00:00,2024-12-16T15:12:00+00:00,203,Estimated
385d1e47,2024-12-16T01:00:00+00:00,2024-12-16T16:30:00+00:00,104,Estimated
385d1efa,2024-12-16T03:15:00+00:00,2024-12-16T17:55:00+00:00,69,Estimated
385d1f0b,2024-12-16T01:00:00+00:00,2024-12-16T15:35:00+00:00,104,Estimated
385d1fca,2024-12-16T00:50:00+00:00,2024-12-16T15:00:00+00:00,109,Estimated
385d2025,2024-12-16T00:20:00+00:00,2024-12-16T14:55:00+00:00,144,Estimated
385d2039,2024-12-16T02:30:00+00:00,2024-12-16T16:25:00+00:00,237,Estimated
385d2046,2024-12-16T01:05:00+00:00,2024-12-16T14:05:00+00:00,186,Landed
385d2088,2024-12-16T01:00:00+00:00,2024-12-16T15:40:00+00:00,147,Estimated
385d2123,2024-12-16T03:40:00+00:00,2024-12-16T18:00:00+00:00,1,Estimated
385d23b1,2024-12-16T00:50:00+00:00,2024-12-16T14:10:00+00:00,146,Landed
385d23b8,2024-12-16T00:45:00+00:00,2024-12-16T14:25:00+00:00,2,Delayed
385d246b,2024-12-16T01:05:00+00:00,2024-12-16T14:20:00+00:00,109,Estimated
385d2532,2024-12-16T07:00:00+00:00,2024-12-16T19:10:00+00:00,2,Estimated
385d253c,2024-12-16T01:00:00+00:00,2024-12-16T15:00:00+00:00,99,Estimated
385d2572,2024-12-16T01:05:00+00:00,2024-12-16T13:40:00+00:00,95,Delayed
385d25c7,2024-12-16T03:10:00+00:00,2024-12-16T16:00:00+00:00,201,Estimated
385d2715,2024-12-16T01:20:00+00:00,2024-12-16T16:30:00+00:00,2,Estimated
385d283b,2024-12-16T03:25:00+00:00,2024-12-16T18:00:00+00:00,6,Estimated
385d290c,2024-12-16T01:15:00+00:00,2024-12-16T15:50:00+00:00,143,Estimated
385d291f,2024-12-16T01:20:00+00:00,2024-12-16T15:55:00+00:00,2,Estimated
385d295f,2024-12-16T01:50:00+00:00,2024-12-16T13:30:00+00:00,174,Landed
385d2b03,2024-12-16T01:15:00+00:00,2024-12-16T14:50:00+00:00,123,Estimated
385d2b38,2024-12-16T01:20:00+00:00,2024-12-16T15:10:00+00:00,81,Estimated
385d2b99,2024-12-16T01:45:00+00:00,2024-12-16T15:10:00+00:00,95,Estimated
385d2bf8,2024-12-16T01:20:00+00:00,2024-12-16T13:45:00+00:00,2,Delayed
385d2d67,2024-12-16T01:40:00+00:00,2024-12-16T16:00:00+00:00,1,Estimated
385d2fd8,2024-12-16T01:40:00+00:00,2024-12-16T16:30:00+00:00,1,Estimated
385d2fe3,2024-12-16T01:35:00+00:00,2024-12-16T16:00:00+00:00,118,Estimated
385d3080,2024-12-16T01:20:00+00:00,2024-12-16T14:00:00+00:00,1,Estimated
385d3085,2024-12-16T01:45:00+00:00,2024-12-16T16:00:00+00:00,2,Estimated
385d30b9,2024-12-16T01:40:00+00:00,2024-12-16T14:10:00+00:00,204,Estimated
385d30eb,2024-12-16T01:55:00+00:00,2024-12-16T14:20:00+00:00,82,Delayed
385d31a6,2024-12-16T01:45:00+00:00,2024-12-16T16:10:00+00:00,71,Estimated
385d31a8,2024-12-16T01:00:00+00:00,2024-12-16T13:30:00+00:00,131,Delayed
385d344e,2024-12-16T03:05:00+00:00,2024-12-16T09:44:00+00:00,93,Landed
385d34ef,2024-12-16T03:45:00+00:00,2024-12-16T20:15:00+00:00,1,Estimated
385d352e,2024-12-16T03:50:00+00:00,2024-12-16T16:20:00+00:00,1,Estimated
385d3634,2024-12-16T01:40:00+00:00,2024-12-16T16:30:00+00:00,148,Estimated
385d3691,2024-12-16T02:40:00+00:00,2024-12-16T13:29:52+00:00,183,Delayed
385d36e8,2024-12-16T09:55:00+00:00,2024-12-16T20:30:00+00:00,2,Estimated
385d3706,2024-12-16T01:50:00+00:00,2024-12-16T14:00:00+00:00,92,Landed
385d373a,2024-12-16T01:10:00+00:00,2024-12-16T14:55:00+00:00,106,Delayed
385d38fd,2024-12-16T05:15:00+00:00,2024-12-16T15:05:00+00:00,106,Delayed
385d3923,2024-12-16T03:45:00+00:00,2024-12-16T14:15:00+00:00,224,Delayed
385d3938,2024-12-16T01:35:00+00:00,2024-12-16T15:00:00+00:00,2,Estimated
385d39a6,2024-12-16T04:30:00+00:00,2024-12-16T18:00:00+00:00,76,Estimated
385d39ff,2024-12-16T02:00:00+00:00,2024-12-16T16:20:00+00:00,2,Estimated
385d3a4e,2024-12-16T04:00:00+00:00,2024-12-16T17:00:00+00:00,127,Estimated
385d3a58,2024-12-16T02:05:00+00:00,2024-12-16T14:50:00+00:00,136,Estimated
385d3a7c,2024-12-16T01:30:00+00:00,2024-12-16T17:10:00+00:00,118,Estimated
385d3a99,2024-12-16T01:35:00+00:00,2024-12-16T14:55:00+00:00,1,Estimated
385d3b37,2024-12-16T01:35:00+00:00,2024-12-16T14:20:00+00:00,2,Delayed
385d3b49,2024-12-16T01:45:00+00:00,2024-12-16T14:40:00+00:00,1,Estimated
385d3b4a,2024-12-16T01:40:00+00:00,2024-12-16T14:50:00+00:00,100,Estimated
385d3b6c,2024-12-16T01:35:00+00:00,2024-12-16T15:50:00+00:00,93,Delayed
385d3bb1,2024-12-16T01:00:00+00:00,2024-12-16T15:20:00+00:00,100,Delayed
385d3d10,2024-12-16T04:20:00+00:00,2024-12-16T19:25:00+00:00,154,Estimated
385d3d41,2024-12-16T01:45:00+00:00,2024-12-16T13:55:00+00:00,99,Delayed
385d401e,2024-12-16T01:55:00+00:00,2024-12-16T16:35:00+00:00,1,Delayed
385d4038,2024-12-16T10:30:00+00:00,2024-12-16T18:20:00+00:00,162,Scheduled
385d40d7,2024-12-16T02:30:00+00:00,2024-12-16T14:45:00+00:00,83,Estimated
385d40ee,2024-12-16T04:35:00+00:00,2024-12-16T20:35:00+00:00,2,Estimated
385d418c,2024-12-16T01:50:00+00:00,2024-12-16T13:25:00+00:00,154,Delayed
385d425a,2024-12-16T03:10:00+00:00,2024-12-16T14:30:00+00:00,214,Estimated
385d4261,2024-12-16T02:25:00+00:00,2024-12-16T20:00:00+00:00,2,Estimated
385d4331,2024-12-16T02:15:00+00:00,2024-12-16T14:35:00+00:00,2,Landed
385d437e,2024-12-16T01:49:00+00:00,2024-12-16T17:00:00+00:00,88,Estimated
385d43bc,2024-12-16T04:35:00+00:00,2024-12-16T16:10:00+00:00,2,Estimated
385d441c,1970-01-01T00:00:00+00:00,2024-12-16T14:05:38+00:00,99,Estimated
385d442a,2024-12-16T02:30:00+00:00,2024-12-16T14:55:00+00:00,101,Estimated
385d448e,2024-12-16T02:25:00+00:00,2024-12-16T19:35:00+00:00,2,Estimated
385d44e5,2024-12-16T04:40:00+00:00,2024-12-16T15:05:00+00:00,2,Estimated
385d454b,2024-12-16T00:55:00+00:00,2024-12-16T18:40:00+00:00,1,Delayed
385d45be,2024-12-16T02:35:00+00:00,2024-12-16T16:30:00+00:00,2,Estimated
385d460e,2024-12-16T02:25:00+00:00,2024-12-16T14:12:00+00:00,2,Landed
385d467b,2024-12-16T02:05:00+00:00,2024-12-16T16:55:00+00:00,135,Estimated
385d4685,2024-12-16T04:55:00+00:00,2024-12-16T21:25:00+00:00,150,Estimated
385d46f5,2024-12-16T11:30:00+00:00,2024-12-16T17:30:00+00:00,152,Estimated
385d471a,2024-12-16T02:35:00+00:00,2024-12-16T15:30:00+00:00,148,Estimated
385d471b,2024-12-16T01:25:00+00:00,2024-12-16T15:25:00+00:00,94,Delayed
385d479c,2024-12-16T02:00:00+00:00,2024-12-16T13:45:00+00:00,110,Landed
385d47d6,2024-12-16T06:20:00+00:00,2024-12-16T17:55:00+00:00,100,Estimated
385d4994,2024-12-16T02:45:00+00:00,2024-12-16T15:55:00+00:00,2,Estimated
385d4a4a,2024-12-16T11:05:00+00:00,2024-12-16T15:10:00+00:00,143,Estimated
385d4a7d,2024-12-16T02:50:00+00:00,2024-12-16T14:55:00+00:00,253,Estimated
385d4aa2,2024-12-16T02:30:00+00:00,2024-12-16T15:10:00+00:00,1,Estimated
385d4aab,2024-12-16T04:00:00+00:00,2024-12-16T18:00:00+00:00,7,Estimated
385d4aaf,2024-12-16T02:45:00+00:00,2024-12-16T15:40:00+00:00,166,Estimated
385d4b6a,2024-12-16T03:05:00+00:00,2024-12-16T16:05:00+00:00,1,Estimated
385d4b8a,2024-12-16T02:30:00+00:00,2024-12-16T15:00:00+00:00,173,Landed
385d4c24,2024-12-16T02:30:00+00:00,2024-12-16T14:03:00+00:00,10,Landed
385d4c29,2024-12-16T02:45:00+00:00,2024-12-16T15:25:00+00:00,2,Estimated
385d4c5e,2024-12-16T02:35:00+00:00,2024-12-16T14:20:00+00:00,1,Landed
385d4cb6,2024-12-16T01:20:00+00:00,2024-12-16T15:07:00+00:00,9,Estimated
385d4cb7,2024-12-16T00:50:00+00:00,2024-12-16T13:10:00+00:00,1,Delayed
385d4d04,2024-12-16T11:05:00+00:00,2024-12-16T13:55:00+00:00,109,Landed
385d4d4a,2024-12-16T02:30:00+00:00,2024-12-16T15:25:00+00:00,88,Estimated
385d4df4,2024-12-16T03:20:00+00:00,2024-12-16T15:15:00+00:00,2,Estimated
385d4df7,2024-12-16T01:40:00+00:00,2024-12-16T19:00:00+00:00,173,Estimated
385d4e26,2024-12-16T02:55:00+00:00,2024-12-16T16:10:00+00:00,130,Estimated
385d4fd6,2024-12-16T02:55:00+00:00,2024-12-16T14:25:00+00:00,2,Estimated
385d50a4,2024-12-16T02:55:00+00:00,2024-12-16T18:45:00+00:00,91,Estimated
385d50b8,2024-12-16T02:25:00+00:00,2024-12-16T17:15:00+00:00,113,Estimated
385d511f,2024-12-16T05:10:00+00:00,2024-12-16T22:30:00+00:00,114,Estimated
385d5129,2024-12-16T03:10:00+00:00,2024-12-16T14:35:00+00:00,111,Estimated
385d525e,2024-12-16T03:30:00+00:00,2024-12-16T15:15:00+00:00,1,Landed
385d52a6,2024-12-16T03:10:00+00:00,2024-12-16T13:30:00+00:00,145,Delayed
385d5342,2024-12-16T04:40:00+00:00,2024-12-16T20:45:00+00:00,141,Estimated
385d53d6,2024-12-16T03:05:00+00:00,2024-12-16T14:30:00+00:00,385,Estimated
385d5407,2024-12-16T02:55:00+00:00,2024-12-16T16:30:00+00:00,180,Estimated
385d5411,2024-12-16T02:55:00+00:00,2024-12-16T15:10:00+00:00,2,Estimated
385d54d1,2024-12-16T03:05:00+00:00,2024-12-16T15:30:00+00:00,186,Estimated
385d550e,2024-12-16T03:00:00+00:00,2024-12-16T15:30:00+00:00,2,Estimated
385d558b,2024-12-16T00:45:00+00:00,2024-12-16T10:10:00+00:00,5,Landed
385d55cb,2024-12-16T03:00:00+00:00,2024-12-16T15:00:00+00:00,119,Estimated
385d55f8,2024-12-16T02:50:00+00:00,2024-12-16T14:40:00+00:00,1,Estimated
385d565e,2024-12-16T11:45:00+00:00,2024-12-16T16:35:00+00:00,92,Estimated
385d56ae,2024-12-16T03:10:00+00:00,2024-12-16T17:30:00+00:00,105,Estimated
385d56be,2024-12-16T08:20:00+00:00,2024-12-16T14:00:00+00:00,1,Landed
385d56d7,2024-12-16T03:00:00+00:00,2024-12-16T15:01:00+00:00,131,Estimated
385d57a4,2024-12-16T03:20:00+00:00,2024-12-16T22:00:00+00:00,78,Estimated
385d57eb,2024-12-16T02:50:00+00:00,2024-12-16T15:05:00+00:00,183,Delayed
385d58bc,2024-12-16T03:10:00+00:00,2024-12-16T15:20:00+00:00,125,Estimated
385d58df,2024-12-16T02:40:00+00:00,2024-12-16T14:05:00+00:00,96,Estimated
385d58f1,2024-12-16T03:00:00+00:00,2024-12-16T13:40:00+00:00,115,Delayed
385d593a,2024-12-16T05:00:00+00:00,2024-12-16T15:30:00+00:00,253,Estimated
385d5a0f,2024-12-16T02:35:00+00:00,2024-12-16T14:20:00+00:00,99,Landed
385d5b8e,2024-12-16T03:05:00+00:00,2024-12-16T17:30:00+00:00,156,Estimated
385d5c42,2024-12-16T02:50:00+00:00,2024-12-16T16:00:00+00:00,1,Estimated
385d5c71,2024-12-16T04:20:00+00:00,2024-12-16T15:08:09+00:00,93,Delayed
385d5cc3,2024-12-16T05:10:00+00:00,2024-12-16T14:55:00+00:00,90,Delayed
385d5d82,2024-12-16T03:10:00+00:00,2024-12-16T14:15:00+00:00,128,Delayed
385d5db5,2024-12-16T03:35:00+00:00,2024-12-16T14:55:00+00:00,76,Estimated
385d5e04,2024-12-16T02:55:00+00:00,2024-12-16T18:10:00+00:00,2,Estimated
385d5e3e,2024-12-16T11:00:00+00:00,2024-12-16T13:18:00+00:00,3,Landed
385d5ec8,2024-12-16T03:40:00+00:00,2024-12-16T16:20:00+00:00,2,Estimated
385d5ee6,2024-12-16T03:20:00+00:00,2024-12-16T14:50:00+00:00,129,Estimated
385d5f9f,2024-12-16T03:10:00+00:00,2024-12-16T15:40:00+00:00,67,Estimated
385d5fca,2024-12-16T03:25:00+00:00,2024-12-16T18:05:00+00:00,125,Estimated
385d6052,2024-12-16T03:25:00+00:00,2024-12-16T17:05:00+00:00,111,Estimated
385d6080,2024-12-16T03:20:00+00:00,2024-12-16T16:00:00+00:00,87,Estimated
385d60b3,2024-12-16T03:20:00+00:00,2024-12-16T13:43:00+00:00,178,Landed
385d6197,2024-12-16T13:00:00+00:00,2024-12-16T17:25:00+00:00,75,Scheduled
385d621e,2024-12-16T03:25:00+00:00,2024-12-16T16:40:00+00:00,9,Estimated
385d6224,2024-12-16T03:45:00+00:00,2024-12-16T16:30:00+00:00,112,Estimated
385d6262,2024-12-16T03:20:00+00:00,2024-12-16T14:50:00+00:00,234,Estimated
385d63f7,2024-12-16T03:50:00+00:00,2024-12-16T21:30:00+00:00,80,Estimated
385d6404,2024-12-16T03:15:00+00:00,2024-12-16T16:05:00+00:00,2,Estimated
385d64ce,2024-12-16T07:00:00+00:00,2024-12-16T18:59:00+00:00,169,Delayed
385d6506,2024-12-16T03:05:00+00:00,2024-12-16T16:05:00+00:00,72,Estimated
385d6519,2024-12-16T03:25:00+00:00,2024-12-16T17:40:00+00:00,131,Estimated
385d6520,2024-12-16T03:50:00+00:00,2024-12-16T16:50:00+00:00,2,Estimated
385d6593,2024-12-16T03:55:00+00:00,2024-12-16T14:10:00+00:00,2,Landed
385d65c4,2024-12-16T03:55:00+00:00,2024-12-16T15:15:00+00:00,334,Estimated
385d66ad,2024-12-16T06:55:00+00:00,2024-12-16T17:55:00+00:00,2,Estimated
385d6768,2024-12-16T05:20:00+00:00,2024-12-16T20:25:00+00:00,169,Estimated
385d67dd,2024-12-16T13:00:00+00:00,2024-12-16T16:49:00+00:00,4,Estimated
385d683f,2024-12-16T05:01:00+00:00,2024-12-16T14:04:00+00:00,187,Delayed
385d68f5,2024-12-16T03:45:00+00:00,2024-12-16T14:40:00+00:00,1,Landed
385d6a48,2024-12-16T04:10:00+00:00,2024-12-16T19:00:00+00:00,2,Estimated
385d6a54,2024-12-16T01:45:00+00:00,2024-12-16T13:55:00+00:00,71,Delayed
385d6aba,2024-12-16T11:35:00+00:00,2024-12-16T14:29:00+00:00,3,Estimated
385d6b63,2024-12-16T04:00:00+00:00,2024-12-16T16:25:00+00:00,128,Estimated
385d6c52,2024-12-16T04:15:00+00:00,2024-12-16T21:45:00+00:00,85,Estimated
385d6c81,2024-12-16T06:20:00+00:00,2024-12-16T18:10:00+00:00,139,Estimated
385d6cb6,2024-12-16T04:25:00+00:00,2024-12-16T16:30:00+00:00,228,Estimated
385d6cca,2024-12-16T06:40:00+00:00,2024-12-16T15:10:00+00:00,143,Estimated
385d6d00,2024-12-16T12:00:00+00:00,2024-12-16T14:49:00+00:00,141,Scheduled
385d6d3a,2024-12-16T02:15:00+00:00,2024-12-16T13:05:00+00:00,142,Landed
385d6e72,2024-12-16T04:15:00+00:00,2024-12-16T19:10:00+00:00,1,Estimated
385d6f24,2024-12-16T04:05:00+00:00,2024-12-16T18:55:00+00:00,112,Estimated
385d6f82,2024-12-16T04:00:00+00:00,2024-12-16T15:45:00+00:00,70,Estimated
385d6f9b,2024-12-16T06:15:00+00:00,2024-12-16T22:15:00+00:00,68,Estimated
385d6fb7,2024-12-16T04:15:00+00:00,2024-12-16T22:25:00+00:00,131,Estimated
385d6fd3,2024-12-16T04:30:00+00:00,2024-12-16T18:35:00+00:00,105,Estimated
385d7011,2024-12-16T03:50:00+00:00,2024-12-16T18:25:00+00:00,100,Estimated
385d7096,2024-12-16T04:30:00+00:00,2024-12-16T15:10:00+00:00,181,Landed
385d7118,2024-12-16T04:20:00+00:00,2024-12-16T16:30:00+00:00,2,Estimated
385d712c,2024-12-16T12:00:00+00:00,2024-12-16T21:20:00+00:00,161,Estimated
385d7138,2024-12-16T04:00:00+00:00,2024-12-16T21:00:00+00:00,155,Estimated
385d7152,2024-12-16T04:10:00+00:00,2024-12-16T18:45:00+00:00,133,Estimated
385d7219,2024-12-16T07:10:00+00:00,2024-12-16T18:30:00+00:00,2,Estimated
385d723c,2024-12-16T04:20:00+00:00,2024-12-16T15:20:00+00:00,2,Landed
385d72ae,2024-12-16T04:30:00+00:00,2024-12-16T20:45:00+00:00,140,Estimated
385d72c0,2024-12-16T04:25:00+00:00,2024-12-16T16:40:00+00:00,2,Estimated
385d7363,2024-12-16T04:30:00+00:00,2024-12-16T18:55:00+00:00,168,Estimated
385d7394,2024-12-16T06:55:00+00:00,2024-12-16T17:35:00+00:00,1,Estimated
385d73e8,2024-12-16T04:35:00+00:00,2024-12-16T18:35:00+00:00,138,Estimated
385d743a,2024-12-16T07:25:00+00:00,2024-12-16T19:25:00+00:00,123,Estimated
385d7463,2024-12-16T04:40:00+00:00,2024-12-16T15:15:00+00:00,105,Estimated
385d748b,2024-12-16T04:30:00+00:00,2024-12-16T17:50:00+00:00,133,Estimated
385d75b0,2024-12-16T06:40:00+00:00,2024-12-16T20:10:00+00:00,151,Estimated
385d7610,2024-12-16T04:40:00+00:00,2024-12-16T18:55:00+00:00,97,Estimated
385d766c,2024-12-16T04:55:00+00:00,2024-12-16T20:25:00+00:00,1,Estimated
385d769c,2024-12-16T04:15:00+00:00,2024-12-16T16:15:00+00:00,258,Estimated
385d76ee,2024-12-16T04:35:00+00:00,2024-12-16T20:15:00+00:00,124,Estimated
385d7741,2024-12-16T02:50:00+00:00,2024-12-16T13:20:00+00:00,102,Delayed
385d77b4,2024-12-16T04:45:00+00:00,2024-12-16T14:00:00+00:00,141,Landed
385d7831,2024-12-16T07:20:00+00:00,2024-12-16T17:27:00+00:00,106,Delayed
385d7836,2024-12-16T04:40:00+00:00,2024-12-16T18:55:00+00:00,143,Estimated
385d7877,2024-12-16T04:55:00+00:00,2024-12-16T19:20:00+00:00,119,Estimated
385d78b8,2024-12-16T04:55:00+00:00,2024-12-16T20:20:00+00:00,186,Estimated
385d7935,2024-12-16T04:45:00+00:00,2024-12-16T19:10:00+00:00,145,Estimated
385d7a2f,2024-12-16T05:35:00+00:00,2024-12-16T20:10:00+00:00,157,Estimated
385d7a4d,2024-12-16T11:00:00+00:00,2024-12-16T14:29:00+00:00,100,Scheduled
385d7a4f,2024-12-16T07:00:00+00:00,2024-12-16T18:10:00+00:00,240,Estimated
385d7a96,2024-12-16T04:50:00+00:00,2024-12-16T17:35:00+00:00,124,Estimated
385d7ac5,2024-12-16T06:55:00+00:00,2024-12-16T14:05:00+00:00,131,Landed
385d7ae1,2024-12-16T04:10:00+00:00,2024-12-16T15:00:00+00:00,1,Estimated
385d7b54,2024-12-16T04:35:00+00:00,2024-12-16T20:50:00+00:00,89,Estimated
385d7b75,2024-12-16T06:25:00+00:00,2024-12-16T16:50:00+00:00,279,Estimated
385d7b7e,2024-12-16T02:30:00+00:00,2024-12-16T13:10:00+00:00,115,Landed
385d7bb4,2024-12-16T06:35:00+00:00,2024-12-16T21:15:00+00:00,91,Estimated
385d7bf2,2024-12-16T05:00:00+00:00,2024-12-16T16:20:00+00:00,242,Estimated
385d7bfc,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,147,Estimated
385d7c08,2024-12-16T04:55:00+00:00,2024-12-16T15:05:00+00:00,126,Estimated
385d7c69,2024-12-16T05:10:00+00:00,2024-12-16T16:54:00+00:00,124,Delayed
385d7d0b,2024-12-16T05:15:00+00:00,2024-12-16T18:15:00+00:00,191,Estimated
385d7d15,2024-12-16T01:40:00+00:00,2024-12-16T12:15:00+00:00,128,Delayed
385d7d81,2024-12-16T04:55:00+00:00,2024-12-16T17:15:00+00:00,154,Estimated
385d7dc3,2024-12-16T04:40:00+00:00,2024-12-16T17:15:00+00:00,119,Estimated
385d7e6a,2024-12-16T05:05:00+00:00,2024-12-16T18:35:00+00:00,144,Estimated
385d7e87,2024-12-16T07:10:00+00:00,2024-12-16T17:00:00+00:00,151,Estimated
385d7ed3,2024-12-16T05:10:00+00:00,2024-12-16T19:05:00+00:00,186,Estimated
385d7ede,2024-12-16T04:30:00+00:00,2024-12-16T16:30:00+00:00,95,Estimated
385d8008,2024-12-16T03:10:00+00:00,2024-12-16T16:30:00+00:00,136,Delayed
385d8036,2024-12-16T05:10:00+00:00,2024-12-16T21:00:00+00:00,418,Estimated
385d805f,2024-12-16T05:00:00+00:00,2024-12-16T20:30:00+00:00,119,Estimated
385d807f,2024-12-16T05:15:00+00:00,2024-12-16T16:00:00+00:00,164,Estimated
385d8097,2024-12-16T05:10:00+00:00,2024-12-16T20:10:00+00:00,1,Estimated
385d80f8,2024-12-16T04:15:00+00:00,2024-12-16T18:35:00+00:00,145,Estimated
385d8142,2024-12-16T04:45:00+00:00,2024-12-16T15:55:00+00:00,122,Estimated
